ANO;ESTADO;REFINARIA;MATÉRIA PRIMA;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
1990;SÃO PAULO;RPBC;PETRÓLEO NACIONAL ;m3;189139;153200;383874;546076;571460;512580;504265;508283;566730;533599;491158;575969;5536333
1990;BAHIA;RLAM;PETRÓLEO NACIONAL ;m3;490305;569255;625412;557600;594652;602769;564529;554503;605222;626782;594156;625270;7010455
1990;RIO DE JANEIRO;REDUC;PETRÓLEO NACIONAL ;m3;224387;297442;401822;306463;506939;339199;263247;366313;223592;97638;0;239436;3266478
1990;MINAS GERAIS;REGAP;PETRÓLEO NACIONAL ;m3;36935;41062;42578;18728;90812;61813;26756;69542;195405;112995;59022;63645;819293
1990;RIO GRANDE DO SUL;REFAP;PETRÓLEO NACIONAL ;m3;59085;103028;9222;44118;39214;32394;11983;480;7569;14618;9950;48012;379673
1990;CEARÁ;LUBNOR;PETRÓLEO NACIONAL ;m3;0;0;0;0;0;0;0;731;0;0;5237;0;5968
1990;SÃO PAULO;REPLAN;PETRÓLEO NACIONAL ;m3;439241;636236;669101;356024;535260;141841;357342;342129;291906;268473;121481;407337;4566371
1990;AMAZONAS;REMAN;PETRÓLEO NACIONAL ;m3;29664;29923;47027;44314;46605;46187;47032;47685;45171;19831;9;22183;425631
1990;SÃO PAULO;RECAP;PETRÓLEO NACIONAL ;m3;96257;125546;129372;45015;74423;113778;129613;131848;133508;114710;102861;132541;1329472
1990;PARANÁ;REPAR;PETRÓLEO NACIONAL ;m3;151238;339215;245938;191513;300325;227276;364569;372218;292300;372120;390831;286013;3533556
1990;SÃO PAULO;REVAP;PETRÓLEO NACIONAL ;m3;424254;713879;734213;746277;885400;758565;848786;670177;733848;738306;772388;803981;8830074
1990;RIO GRANDE DO NORTE;RPCC;PETRÓLEO NACIONAL ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
1990;PERNAMBUCO;RNEST;PETRÓLEO NACIONAL ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
